years,rsl
90.7236,-5.1444
641.344,-4.58484
1133.73,-2.62635
1655.47,-2.62635
1974.05,-1.22744
2351.17,-2.90614
2699.58,-5.98375
2901.53,-0.947653
3105.06,-4.30505
3308.95,-9.62094
3483.39,-12.4188
3772.72,-9.62094
3974.73,-4.86462
4292.79,-0.66787
4524.41,0.731047
5017.27,0.17148
5626.22,-1.22744
6380.21,-3.18592
6931.51,-6.26354
7397.22,-16.6155
7630.15,-22.2112
8182.86,-32.843
8415.69,-37.8791
8996.76,-45.1534
9549.05,-53.5469
10216.9,-59.9819
11204.3,-69.7744
11988,-75.6498
12916.5,-80.9657
13815.9,-85.722
15238,-94.9549
15847.4,-99.1516
16399.6,-106.706
16807.4,-117.338
17272.8,-126.291
17795.3,-130.487
