kyr,RSL
-14.6817,  -98.6667
-14.5756,  -96
-14.3988,  -97
-14.2927,  -94
-14.2574,  -95
-14.2456,  -92.3333
-14.2338,  -93.6667
-13.6444,  -74
-13.609,  -75
-13.5855,  -73.3333
-13.5619,  -73
-13.5501,  -73.3333
-13.1729,  -70
-13.0904,  -70
-12.9843,  -68
-12.8428,  -66.6667
-12.7957,  -64.6667
-12.2181,  -61.3333
-12.1709,  -61.6667
-12.0059,  -61.3333
-11.5108,  -58.3333
-11.499,  -58.3333
-11.4165,  -56.6667
-11.3929,  -58.3333
-11.3811,  -57.3333
-11.0747,  -44.3333
-10.9332,  -42.3333
-10.5796,  -41
-10.0373,  -36.3333
-9.88409,  -33.6667
-9.71906,  -33.3333
-9.24754,  -28.3333
-9.12967,  -25
-9.08251,  -24.3333
